transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4924,U082,05/25/2022,Expense,food,235,Card,Chennai,Restaurant dinner
T11911,U069,22-06-2023,Expense,food,1263,Upi,Lucknow,Dominos pizza
T11270,U022,2023-08-09,Expense,health,2134,Bank Transfr,Jai,Dental treatment
T13032,U150,06/19/2021,Expense,education,2228,Cash,Delhi,College fees
T6095,U110,2024-01-11,Expense,rent,4641 INR,Banktransfer,Delhi,Accommodation rent
T0361,U055,2023-08-16,Expense,utilities,1081,Crd,Pune,Internet bill
T7314,U103,26-02-2022,Expense,entertainment,371,Csh,Mum,OTT subscription
T11430,U108,07/10/2021,Expense,food,225,Crd,Pune,Starbucks coffee
T12663,U052,04/15/2023,Expense,rent,23776,Upi,Bangalore,Monthly house rent
T6106,U008,23-04-23,Expense,health,6707,Card,Delhi,Blood test
T9628,U096,22-03-24,Expense,food,$8380,Bank Transfer,Hyderabad,Lunch at restaurant
T1623,U017,04/10/2021,Expense,utilities,601,Bank Transfer,Jaipur,Mobile recharge
T13765,U034,09/05/2024,Expense,others,3219,Csh,Hyderabad,Other payment
T10347,U017,,Expense,rent,8182,Csh,Unknown,Room rent
T5930,U011,04/21/2024,Expense,savings,8111,Unknown,Del,Monthly savings
T1627,U069,04/18/2022,Expense,utilities,Rs.5554,Bank Transfer,Hyderabad,Mobile recharge
T4242,U053,2024-08-15,Income,salary,₹41573,Bank Transfr,Mumbai,Monthly salary
T12437,U004,12-01-2024,Expense,education,3110,Banktransfer,Chennai,College fees
T8670,U030,25-07-24,Expense,food,4277,Crd,Pune,Family dinner
T11341,U127,17-01-24,Expense,food,3047,Crd,Mumbai,Zomato order
T9556,U008,2024-06-27,Income,freelance,10183,Unknown,Delhi,Freelance project
T2449,U028,04/16/2022,Expense,travel,9888,Bank Transfer,Del,Train ticket
T4357,U088,07/03/2024,Expense,rent,7217,Cash,Delhi,Rent transfer
T0815,U141,2021-10-05,Expense,education,9725,Bank Transfr,Che,Udemy course
T7919,U086,2023-05-27,Expense,entertainment,9648,Bank Transfr,Kolkata,Disney Plus
T5695,U061,2023-10-22,Expense,travel,1643,Card,Mumbai,Ola cab
T2471,U066,12/23/2021,Expense,education,7397 INR,Csh,Del,Library fees
T3475,U046,2022-12-10,Income,freelance,70075,Upi,Kolkata,Consulting income
T5875,U081,2021-10-31,Expense,food,Rs.864,Bank Transfr,Mumbai,Family dinner
T10128,U104,2024-09-06,Expense,nan,6228,Cash,Hyderabad,General transaction
T3491,U061,04/10/2024,Expense,education,1206,Cash,Ahmedabad,Udemy course
T2225,U028,2023-07-06,Expense,education,8204,Crd,Unknown,College fees
T6946,U068,06/23/2024,Expense,education,Rs.5756,Upi,Hyderabad,Udemy course
T2022,U056,12/20/2021,Expense,food,₹5576,Banktransfer,Del,Cafe breakfast
T13529,U123,2021-11-05,Expense,health,9771,Bank_Transfer,Pune,Medical test
T12210,U118,2022-01-25,Expense,rent,20509,Bank Transfr,Bangalore,Flat rent
T6904,U063,2024-09-13,Income,bonus,62193,Upi,Che,Performance bonus
T0713,U055,2023-08-22,Expense,utilities,3367,Bank_Transfer,Ahmedabad,Utility payment
T7323,U009,2024-05-13,Expense,health,2721,Upi,Bangalore,Health insurance
T10231,U089,02/13/2023,Expense,rent,2962,Upi,Ahmedabad,Room rent
T11570,U052,2022-09-23,Expense,travel,8283,Card,Ahmedabad,Taxi fare
T13926,U134,2024-09-16,Expense,utilities,3520,Csh,Mumbai,Broadband bill
T0884,U115,04/07/2024,Expense,travel,5524,Bank Transfer,Hyderabad,Bus ticket
T5033,U119,2021-12-18,Expense,travel,₹999999,Upi,Pune,Uber ride
T8492,U101,11/14/2024,Expense,entertainment,1800,Bank Transfer,Ahmedabad,Concert ticket
T4699,U090,08/07/2023,Income,investment,₹32146,Cash,Delhi,Mutual fund investment
T1841,U097,03/10/2021,Income,others,57173,Cash,Unknown,Cash withdrawal
T3041,U018,2021-07-11,Expense,rent,2966,Cash,Bangalore,Home rent
T7693,U116,31-08-24,Expense,entertainment,1004,Bank Transfer,Kolkata,Movie ticket
T0071,U078,2024-04-26,Expense,rent,₹6141,Csh,Pune,Home rent
T12197,U026,04/18/2022,Expense,travel,9154,Crd,Delhi,Ola cab
T8563,U080,12/29/2024,Expense,travel,Rs.9705,Cash,Unknown,Bus ticket
T6626,U049,2022-08-14,Expense,food,2637,Cash,Jaipur,Food delivery
T7302,U102,09/19/2024,Expense,food,1073,Crd,Lucknow,Family dinner
T6588,U125,,Expense,food,425,Banktransfer,Jai,Food delivery
T3552,U095,2024-01-21,Income,bonus,34145,Bank Transfer,Hyderabad,Performance bonus
T1620,U040,08/30/2024,Expense,utilities,527,Cash,Mum,Gas bill
T7912,U115,06/15/2022,Expense,savings,5195,Upi,Luc,Emergency fund
T3571,U064,2024-10-05,Expense,entertainment,3143,Upi,Chennai,Disney Plus
T10957,U081,08/06/2023,Expense,travel,2135,Cash,Lucknow,Metro recharge
T0294,U080,25-12-24,Expense,food,2163,Upi,Mumbai,Family dinner
T9414,U149,06/09/2024,Expense,rent,42078,Upi,Kolkata,Rental payment
T10537,U079,08-01-2023,Expense,food,2778,Upi,Ahmedabad,Lunch at restaurant
T1125,U105,2024-11-22,Expense,health,3929,Crd,Unknown,Health insurance
T8978,U103,05-10-2024,Income,freelance,23852,Crd,Luc,Website project
T5936,U022,2021-06-13,Expense,nan,₹6856,Unknown,Chennai,General transaction
T3751,U103,2024-05-31,Income,bonus,49639,Unknown,Hyderabad,Incentive received
T0626,U122,19-08-2024,Expense,education,3150,Banktransfer,Che,Exam fees
T9500,U090,2022-06-07,Expense,health,9408,Cash,Hyderabad,Doctor consultation
T1537,U056,06/25/2022,Expense,entertainment,4114,Upi,Delhi,Amazon Prime
T9185,U117,12/12/2022,Income,bonus,Rs.14249,Bank Transfr,Lucknow,Festival bonus
T7093,U096,2023-03-29,Expense,travel,9681,Upi,Delhi,Ola cab
T1990,U121,29-03-22,Expense,travel,3011,Crd,Kolkata,Travel expense
T4706,U150,06/13/2024,Expense,health,3150,Upi,Jaipur,Dental treatment
T8416,U133,05/05/2023,Income,bonus,32789,Csh,Bangalore,Annual bonus
T11932,U100,2023-02-10,Expense,utilities,6704,Upi,Mum,WiFi recharge
T4683,U062,2022-08-27,Expense,travel,Rs.4427,Card,Chennai,Metro recharge
T10528,U071,27-11-21,Expense,entertainment,3121,Bank_Transfer,Pune,Movie ticket
T10806,U149,05/19/2024,Expense,food,3802,Upi,Jaipur,Zomato order
T10505,U099,03/06/2021,Expense,education,544,Upi,Ahmedabad,Training program
T13682,U145,03/09/2023,Expense,travel,9053,Unknown,Lucknow,Flight booking
T12807,U029,2021-06-05,Income,freelance,32381,Bank Transfer,Chennai,Freelance earnings
T6557,U007,28-01-23,Expense,travel,Rs.8305,Upi,Pune,Bus ticket
T0409,U137,2021-02-08,Expense,utilities,8841,Unknown,Mumbai,Electricity bill
T10784,U022,04/30/2021,Income,investment,46219,Crd,Lucknow,Investment deposit
T2457,U054,03-10-21,Expense,travel,9800 INR,Cash,Mumbai,Ola cab
T12395,U062,04/10/2021,Expense,utilities,4451,Bank Transfer,Mumbai,Internet bill
T1882,U101,09/25/2022,Expense,education,9358,Crd,Mumbai,School fees
T13924,U035,08/24/2021,Expense,rent,3569,Cash,Jaipur,PG rent
T13453,U110,2024-11-05,Expense,rent,2979,Cash,Hyd,Rent transfer
T9836,U058,2024-09-11,Expense,travel,$1863,Bank_Transfer,Hyderabad,Uber ride
T13845,U066,06/24/2022,Expense,rent,34984,Upi,Chennai,Lease payment
T11381,U107,05/12/2024,Income,investment,44031,Bank Transfr,Hyd,SIP investment
T5758,U049,08-04-2023,Expense,rent,₹21771,Upi,Chennai,Lease payment
T12059,U077,12/11/2021,Income,salary,$24920,Upi,Chennai,Payroll deposit
T8889,U131,01-07-21,Expense,savings,8861,Bank Transfr,Pune,Monthly savings
T10327,U136,25-05-22,Expense,health,₹4201,Bank_Transfer,Kol,Blood test
T4967,U113,2022-02-17,Expense,rent,47473,Banktransfer,Hyderabad,Home rent
T11849,U040,12/06/2021,Income,investment,75822,Csh,Mumbai,Stock purchase
T5167,U014,10/26/2021,Expense,food,677,Bank_Transfer,Mumbai,Starbucks coffee
T3952,U120,08/26/2024,Expense,rent,43252,Csh,Delhi,PG rent
T5844,U086,2021-04-24,Expense,food,₹2615,Crd,Lucknow,Dominos pizza
T13040,U009,06-04-24,Expense,food,₹2855,Upi,Ban,Cafe breakfast
T3167,U145,28-11-21,Income,bonus,57358,Cash,Delhi,Annual bonus
T8867,U105,11/14/2022,Expense,nan,6348,Crd,Mumbai,General transaction
T5926,U016,13-07-24,Expense,rent,4583,Bank_Transfer,Unknown,PG rent
T13662,U129,10/18/2021,Expense,others,4952,Cash,Hyderabad,Cash withdrawal
T13593,U018,03-11-24,Expense,others,3941,Bank Transfer,Mumbai,Other payment
T12216,U116,21-04-23,Income,others,47262,Banktransfer,Kol,Other payment
T8335,U001,19-06-21,Expense,entertainment,1998,Upi,Lucknow,Theatre booking
T4933,U018,03/17/2021,Expense,food,₹8124,Unknown,Pune,Zomato order
T7036,U105,01-12-21,Expense,travel,1326,Card,Unknown,Bus ticket
T9072,U066,09/26/2024,Expense,savings,₹4328,Upi,Mumbai,Monthly savings
T8270,U081,04-04-2023,Expense,food,276,Bank_Transfer,Pune,Food delivery
T12265,U094,2022-04-02,Expense,utilities,₹4215,Crd,Hyderabad,Power bill
T4637,U005,11/04/2023,Expense,utilities,₹6316,Upi,Pun,WiFi recharge
T9022,U089,2024-03-10,Expense,rent,21376,Upi,Che,Accommodation rent
T7016,U145,2021-01-09,Expense,utilities,7391,Cash,Hyderabad,Broadband bill
T12109,U144,05/31/2023,Expense,travel,2990,Upi,Mum,Ola cab
T9952,U045,2022-12-24,Expense,utilities,2230,Unknown,Delhi,Water bill
T13401,U064,2021-09-17,Expense,food,6197,Upi,Unknown,Swiggy order
T11100,U142,06-05-2021,Expense,food,6502,Card,Jaipur,Food delivery
T4072,U067,07-11-21,Expense,nan,6902,Crd,Delhi,General transaction
T8303,U091,05-05-24,Expense,food,,Bank Transfr,Kol,Burger King meal
T9115,U060,21-04-22,Expense,entertainment,9939,Bank Transfer,Pune,Spotify premium
T2668,U126,12/30/2022,Expense,rent,1518,Bank Transfer,Luc,Home rent
T1256,U035,06-03-2021,Expense,travel,2985,Csh,Delhi,Flight booking
T7219,U002,2024-06-28,Expense,education,3150,Bank Transfr,Ahmedabad,Exam fees
T7845,U014,27-12-2024,Expense,utilities,6671,Upi,Ahmedabad,Electricity bill
T4986,U124,2023-07-04,Expense,travel,1409,Upi,Chennai,Metro recharge
T1883,U047,07/20/2024,Expense,education,2497,Bank Transfr,Kol,Library fees
T7034,U108,03/24/2021,Expense,utilities,6324,Crd,Chennai,Electricity bill
T11835,U125,04-12-22,Expense,education,$7315,Bank Transfr,Jaipur,Educational material
T0231,U031,02/08/2023,Expense,utilities,7080,Bank_Transfer,Kolkata,Mobile recharge
T2017,U090,2022-01-14,Expense,utilities,7821,Cash,Pun,EB payment
T9479,U114,2021-08-14,Expense,rent,₹988,Upi,Unknown,Rent transfer
T1312,U070,12/15/2022,Income,freelance,23504,Bank Transfer,Hyderabad,Client payment
T0010,U017,04/19/2024,Expense,nan,1064,Csh,Ahm,General transaction
T11433,U083,10/12/2021,Expense,food,2683,Csh,Delhi,Zomato order
T4446,U017,11/30/2023,Expense,food,5022,Cash,Hyderabad,Burger King meal
T2782,U093,2021-04-01,Expense,food,₹7849,Unknown,Pune,Starbucks coffee
T11291,U040,2024-06-10,Income,bonus,33565,Csh,Hyderabad,Annual bonus
T6224,U092,11/04/2024,Income,salary,66678,Bank Transfr,Chennai,Company payroll
T4124,U119,03-05-2024,Expense,education,6304,Upi,Pune,Online course
T10115,U091,23-02-2022,Income,freelance,50009,Bank Transfer,Pune,Consulting income
T3531,U134,08-07-21,Expense,food,5811,Bank Transfer,Pune,Cafe breakfast
T1066,U057,2023-02-05,Expense,entertainment,₹7713,Upi,Pune,Gaming subscription
T9037,U142,12/19/2022,Income,salary,70693,Csh,Ahmedabad,Payroll deposit
T12498,U012,20-03-24,Expense,health,2603,Cash,Kolkata,Medical test
T6556,U037,12/22/2023,Expense,food,314,Cash,Mum,Family dinner
T4233,U089,2024-10-30,Expense,education,9806,Bank_Transfer,Chennai,Training program
T1925,U060,2023-02-04,Expense,food,3762,Banktransfer,Hyd,Cafe breakfast
T9678,U092,03/15/2021,Expense,travel,9891,Upi,Unknown,Metro recharge
T3468,U143,08/09/2024,Expense,health,6869,Crd,Jaipur,Pharmacy purchase
T2217,U113,2023-04-02,Expense,rent,$6756,Bank_Transfer,Pun,Monthly house rent
T7901,U028,2021-09-07,Expense,entertainment,356,Banktransfer,Jaipur,Movie ticket
T9324,U093,2021-10-03,Income,others,20156,Cash,Pune,General expense
T6515,U121,2024-03-16,Expense,health,$3790,Crd,Ahm,Medical test
T3401,U071,10-07-2021,Expense,nan,6766,Card,Bangalore,General transaction
T2246,U061,04-01-21,Expense,food,3765,Bank Transfer,Chennai,Starbucks coffee
T10375,U013,2023-08-06,Income,freelance,,Bank Transfer,Delhi,Freelance project
T7960,U028,25-07-21,Expense,entertainment,4638,Card,Unknown,Theatre booking
T13793,U141,09/23/2021,Income,freelance,11650,Csh,Hyd,Client payment
T7316,U144,22-02-24,Expense,utilities,5790,Unknown,Pun,Electricity bill
T4875,U076,06/16/2024,Expense,rent,12435,Upi,Lucknow,Lease payment
T1216,U042,31-01-22,Income,investment,31183,Bank Transfer,Jaipur,SIP investment
T11898,U035,2023-04-13,Expense,food,775,Upi,Unknown,Cafe breakfast
T3071,U139,11/03/2021,Expense,entertainment,$8230,Bank_Transfer,Lucknow,OTT subscription
T12468,U043,12/14/2024,Expense,rent,₹5582,Upi,Ahmedabad,Accommodation rent
T5511,U114,04/20/2024,Expense,food,5918,Bank Transfer,Pune,Cafe breakfast
T5607,U093,02/05/2024,Income,investment,73830,Upi,Pune,SIP investment
T9770,U040,02/21/2021,Expense,rent,23340,Crd,Lucknow,Rent transfer
T11278,U009,2022-07-19,Expense,rent,40813,Upi,Delhi,Accommodation rent
T10427,U077,2024-12-31,Expense,utilities,₹3414,Upi,Pune,Utility payment
T1377,U044,31-03-22,Expense,food,2033,Upi,Mumbai,Burger King meal
T2469,U038,11/30/2023,Income,bonus,44932,Bank Transfr,Kol,Festival bonus
T6621,U104,14-08-22,Expense,food,999999,Cash,Jaipur,Zomato order
T7679,U079,2024-05-03,Expense,education,₹2274,Cash,Hyderabad,School fees
T8635,U039,28-02-2023,Expense,travel,330,Bank Transfer,Chennai,Airport transfer
T4874,U123,2024-12-30,Expense,travel,8592,Csh,Pun,Train ticket
T3143,U025,2023-05-01,Expense,rent,Rs.6779,Csh,Delhi,Accommodation rent
T13475,U033,01-12-22,Income,investment,29235,Bank Transfer,Unknown,SIP investment
T8560,U023,04/02/2023,Expense,health,2143,Card,Delhi,Health checkup
T8417,U089,2022-05-17,Expense,food,4945,Crd,Ahmedabad,Family dinner
T8379,U106,16-10-21,Expense,entertainment,8152,Upi,Delhi,Movie ticket
T13913,U006,12/07/2022,Expense,others,7300,Bank_Transfer,Pune,Other payment
T11359,U135,04-06-24,Expense,food,4603,Bank Transfer,Ahmedabad,Lunch at restaurant
T8916,U035,2022-10-13,Expense,entertainment,$4719,Card,Mum,Weekend movie
T5752,U112,12-05-22,Expense,rent,27792,Bank Transfer,Pun,Flat rent
T11316,U053,06-10-2022,Expense,travel,6691,Card,Hyd,Airport transfer
T4377,U065,2022-04-05,Expense,rent,5935,Bank Transfr,Hyd,Flat rent
T10191,U150,02/26/2024,Expense,travel,₹9750,Upi,Mumbai,Taxi fare
T10267,U128,2021-10-19,Expense,rent,6484,Upi,Jai,Room rent
T10019,U029,18-02-2024,Expense,entertainment,2398,Bank Transfer,Luc,Concert ticket
T1053,U081,25-08-2021,Expense,food,₹498,Csh,Delhi,Family dinner
T2960,U124,2022-09-05,Expense,rent,Rs.35588,Cash,Jaipur,Apartment rent
T5402,U053,2021-11-02,Income,others,$13131,Card,Lucknow,Cash withdrawal
T1989,U027,06/08/2024,Expense,health,$6321,Cash,Ahm,Pharmacy purchase
T7284,U114,08/30/2023,Expense,rent,28207,Banktransfer,Unknown,Apartment rent
T11284,U125,24-06-2023,Expense,travel,,Crd,Che,Flight booking
T1195,U102,08-06-23,Expense,rent,10749,Cash,Lucknow,Monthly house rent
T6008,U053,2023-05-21,Expense,food,2232,Unknown,Pun,Starbucks coffee
T11465,U149,03/30/2022,Expense,savings,8161,Card,Bangalore,Transfer to savings
T8940,U088,2024-11-05,Expense,nan,3825,Cash,Bangalore,General transaction
T2577,U075,2022-07-13,Expense,utilities,4923,Bank Transfer,Mumbai,Internet bill
T6064,U104,2023-11-04,Expense,food,Rs.1078,Bank_Transfer,Delhi,Food delivery
T1619,U053,16-02-21,Income,investment,₹74630,Banktransfer,Ahm,SIP investment
T1405,U109,02-12-2022,Income,freelance,14180,Cash,Mumbai,Consulting income
T0352,U149,11-08-2024,Expense,utilities,8479,Upi,Bangalore,EB payment
T5467,U104,2023-11-05,Expense,food,5292,Bank_Transfer,Hyderabad,Lunch at restaurant
T10397,U013,10/20/2022,Expense,travel,3942,Bank_Transfer,Lucknow,Bus ticket
T3306,U065,2022-07-22,Expense,entertainment,2923 INR,Bank Transfer,Delhi,Theatre booking
T12923,U075,09/01/2023,Expense,entertainment,8943,Crd,Pune,Concert ticket
T2497,U149,22-11-2022,Expense,utilities,3159,Card,Delhi,Electricity bill
T12309,U024,18-12-2023,Expense,rent,12484,Crd,Ban,Home rent
T6608,U081,04-06-23,Expense,rent,4331,Csh,Hyderabad,Accommodation rent
T4870,U014,2024-10-04,Expense,rent,9348,Bank Transfer,Jaipur,Rent transfer
T12187,U060,06/26/2024,Expense,food,8174,Bank Transfer,Pune,Swiggy order
T13685,U047,2021-08-03,Income,investment,74243,Cash,Jaipur,Investment deposit
T6605,U124,2023-10-17,Expense,food,8640,Cash,Jaipur,Food delivery
T3940,U085,2021-06-25,Expense,food,9784,Crd,Jaipur,Swiggy order
T12289,U001,26-12-2021,Expense,rent,45093,Crd,Pun,Rent transfer
T12849,U049,04/21/2021,Expense,food,2130,Upi,Lucknow,Family dinner
T6257,U036,2023-02-21,Expense,food,4816,Upi,Pun,Food delivery
T3936,U039,10/05/2023,Expense,food,2247,Card,Chennai,Family dinner
T10279,U087,2021-03-13,Income,freelance,46587,Crd,Lucknow,Client payment
T11375,U060,,Expense,entertainment,₹6699,Csh,Lucknow,Concert ticket
T2772,U093,,Expense,travel,3345,Banktransfer,Unknown,Uber ride
T0177,U038,2022-06-13,Expense,others,6610,Csh,Pune,Cash withdrawal
T3986,U077,2024-12-20,Expense,travel,₹4692,Upi,Jaipur,Uber ride
T2217,U113,2023-04-02,Expense,rent,$6756,Bank_Transfer,Pun,Apartment rent
T3810,U004,02-03-21,Expense,education,5305,Bank Transfer,Che,Online course
T7155,U060,08/14/2022,Income,bonus,67675,Bank Transfer,Bangalore,Incentive received
T8163,U016,2021-03-29,Expense,entertainment,7845,Csh,Del,Concert ticket
T7044,U049,18-05-22,Expense,entertainment,7183,Cash,Unknown,Concert ticket
T3840,U144,2022-08-23,Expense,utilities,6908,Card,Ban,Broadband bill
T3774,U020,2023-09-08,Expense,rent,47146,Card,Delhi,Rental payment
T3961,U111,2024-07-15,Expense,health,5749,Csh,Pune,Blood test
T13582,U133,26-10-2021,Expense,entertainment,5542,Card,Kolkata,Netflix subscription
T11104,U121,14-09-22,Expense,travel,3429,Card,Mum,Fuel payment
T8714,U065,2021-06-23,Expense,entertainment,237,Bank Transfer,Jaipur,Movie ticket
T2709,U138,18-08-22,Expense,savings,8231,Upi,Chennai,Emergency fund
T2156,U018,11-05-22,Expense,utilities,Rs.9859,Upi,Kolkata,Mobile recharge
T8551,U065,2024-03-20,Expense,utilities,2288,Upi,Kolkata,Gas bill
T10622,U030,2022-01-26,Expense,travel,5756,Bank_Transfer,Hyd,Train ticket
T9673,U145,10/31/2021,Expense,rent,Rs.28183,Upi,Delhi,Home rent
T8967,U125,16-03-23,Income,others,41720,Bank_Transfer,Pune,Other payment
T11141,U098,10/07/2024,Expense,rent,7335,Bank Transfer,Chennai,Rent transfer
T4430,U147,2024-10-04,Expense,rent,287,Card,Hyderabad,Flat rent
T11810,U060,12/30/2021,Income,others,57828,Upi,Ahmedabad,Miscellaneous purchase
T10574,U061,2021-10-28,Expense,education,₹9601,Unknown,Kolkata,Exam fees
T9406,U131,12/08/2021,Expense,entertainment,2186,Crd,Bangalore,Concert ticket
T2288,U143,14-06-21,Expense,entertainment,8093,Card,Lucknow,Movie ticket
T1733,U080,05/03/2023,Expense,travel,2272,Bank Transfer,Hyd,Fuel payment
T13220,U140,02/05/2024,Expense,food,4549,Csh,Chennai,Burger King meal
T9379,U106,2021-11-26,Expense,rent,21603,Csh,Jaipur,Rent transfer
T0617,U046,2021-01-22,Expense,food,1641,Csh,Kolkata,Starbucks coffee
T13759,U109,27-12-21,Expense,education,7941,Upi,Chennai,Library fees
T0147,U114,27-06-21,Expense,travel,$7135,Cash,Lucknow,Airport transfer
T4332,U089,21-11-23,Expense,food,4265,Upi,Hyderabad,Burger King meal
T12052,U046,09/09/2023,Expense,savings,8634,Bank Transfer,Luc,Monthly savings
T4585,U003,2024-05-21,Expense,entertainment,1006,Upi,Hyderabad,OTT subscription
T0859,U132,27-10-2024,Expense,travel,475,Banktransfer,Del,Bus ticket
T6964,U028,16-04-2022,Expense,savings,,Cash,Del,Emergency fund
T5011,U129,2022-07-16,Expense,travel,₹6799,Card,Bangalore,Metro recharge
T13370,U046,2021-09-23,Expense,health,,Card,Delhi,Health insurance
T1330,U108,2022-03-21,Expense,rent,₹1564,Unknown,Unknown,Room rent
T4361,U008,19-03-23,Expense,education,1002 INR,Bank_Transfer,Ahmedabad,Educational material
T7760,U089,2024-05-11,Expense,rent,46614,Bank Transfr,Luc,Rental payment
T7501,U047,01/12/2021,Expense,food,4005,Cash,Kolkata,Swiggy order
T13770,U147,,Expense,food,651,Bank_Transfer,Che,Restaurant dinner
T10853,U083,2023-04-28,Expense,travel,$4601,Upi,Pun,Airport transfer
T5130,U075,2021-09-10,Expense,rent,₹46896,Upi,Delhi,Flat rent
T12558,U124,01/13/2021,Expense,rent,,Csh,Chennai,Accommodation rent
T4248,U058,2022-03-21,Income,salary,78532,Bank_Transfer,Kolkata,Monthly salary
T5305,U046,01/16/2023,Income,bonus,178518,Bank Transfr,Pune,Incentive received
T6784,U022,2021-01-12,Expense,food,8687,Unknown,Bangalore,Swiggy order
T1468,U139,2022-12-07,Income,freelance,57170,Upi,Del,Freelance project
T5253,U075,2021-08-07,Expense,food,7235,Crd,Ban,Food delivery
T6241,U037,04-07-22,Expense,travel,9675,Csh,Mum,Metro recharge
T4458,U075,04/21/2022,Expense,food,4895,Upi,Ahm,Restaurant dinner
T4529,U064,2024-01-31,Income,bonus,21355,Bank_Transfer,Jai,Annual bonus
T5154,U072,11-03-24,Income,others,₹13183,Upi,Chennai,Misc expense
T10901,U086,2022-07-12,Expense,travel,₹9364,Upi,Delhi,Taxi fare
T12719,U019,2021-05-18,Expense,food,$5042,Cash,Jai,Lunch at restaurant
T6988,U044,10/07/2023,Expense,rent,2824,Upi,Ahm,Apartment rent
T2128,U126,2023-10-18,Expense,health,₹9979,Upi,Hyd,Pharmacy purchase
T1182,U023,2024-09-20,Expense,health,8548,Unknown,Ban,Clinic visit
T4182,U117,03/03/2023,Expense,food,700,Bank Transfr,Pun,Restaurant dinner
T4082,U138,07/23/2021,Expense,food,Rs.6556,Upi,Mumbai,Zomato order
T8735,U023,2023-07-12,Expense,food,8641 INR,Card,Hyderabad,Food delivery
T8123,U020,2023-05-15,Expense,rent,5988,Bank Transfer,Mum,Lease payment
T7895,U117,2024-08-23,Expense,utilities,6348,Card,Chennai,EB payment
T8735,U113,2021-05-15,Expense,rent,5549,Upi,Unknown,Home rent
T10792,U053,2022-07-15,Expense,rent,44898,Cash,Chennai,Room rent
T8838,U010,16-07-2023,Expense,rent,3221,Upi,Del,PG rent
T1044,U075,2021-05-06,Expense,food,₹1810,Card,Kol,Food delivery
